model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples,family
Meta-Llama-31-8B-Instruct,mmlu,test,zs_exp,0.735,0.7791581603293136,0.44198511031717935,0.33717305001213427,1000,Llama
OLMo-2-1124-13B-Instruct,mmlu,test,zs_exp,0.646,0.877486741332065,0.7297273344520829,0.147759406879982,1000,OLMo
OLMo-2-1124-7B-Instruct,mmlu,test,zs_exp,0.605,0.7554770052508233,0.5181280408803858,0.2373489643704375,1000,OLMo
Qwen25-14B-Instruct,mmlu,test,zs_exp,0.757,0.9111863498782716,0.6604633675883979,0.2507229822898738,1000,Qwen
Qwen25-3B-Instruct,mmlu,test,zs_exp,0.519,0.61343331609642,0.29395766978579635,0.3194756463106237,1000,Qwen
Qwen25-7B-Instruct,mmlu,test,zs_exp,0.744,0.8923328888236606,0.6368626469928408,0.2554702418308198,1000,Qwen
gemma-2-2b-it,mmlu,validation,zs_exp,0.143,0.9840492133767073,0.9507128641769089,0.03333634919979833,1000,Gemma
gemma-2-9b-it,mmlu,validation,zs_exp,0.74,0.9739242584344429,0.8984055779063989,0.075518680528044,1000,Gemma
Llama-32-1B-Instruct,mmlu,validation,zs_exp,0.377,0.5664877126743071,0.528286013764627,0.03820169890968006,1000,Llama
Llama-32-3B-Instruct,mmlu,validation,zs_exp,0.564,0.19939821026395949,0.08076526067146651,0.11863294959249297,1000,Llama
Meta-Llama-31-8B-Instruct,mmlu,validation,zs_exp,0.725,0.7792442599656418,0.46130204394813507,0.3179422160175068,1000,Llama
OLMo-2-1124-13B-Instruct,mmlu,validation,zs_exp,0.624,0.8596615759467804,0.7219657672503254,0.13769580869645504,1000,OLMo
OLMo-2-1124-7B-Instruct,mmlu,validation,zs_exp,0.576,0.743489252791671,0.5631270912914282,0.18036216150024276,1000,OLMo
Qwen25-14B-Instruct,mmlu,validation,zs_exp,0.752,0.906082066313251,0.6921759220912674,0.2139061442219835,1000,Qwen
gemma-2-2b-it,simpleqa,test,zs_exp,0.045,0.8015308861667879,0.7111009783806901,0.09042990778609783,1000,Gemma
Qwen25-7B-Instruct,mmlu,validation,zs_exp,0.73,0.8805788660965038,0.6374199478450988,0.243158918251405,1000,Qwen
Qwen25-3B-Instruct,mmlu,validation,zs_exp,0.555,0.5755792869688661,0.3068915707558441,0.26868771621302195,1000,Qwen
gemma-2-9b-it,simpleqa,test,zs_exp,0.054,0.9667163238005452,0.8893821712836036,0.07733415251694153,1000,Gemma
Llama-32-1B-Instruct,simpleqa,test,zs_exp,0.019,0.6547425171746837,0.6123887928843391,0.04235372429034456,1000,Llama
Llama-32-3B-Instruct,simpleqa,test,zs_exp,0.027,0.18673638989714586,0.08323629824227394,0.10350009165487192,1000,Llama
Meta-Llama-31-8B-Instruct,simpleqa,test,zs_exp,0.043,0.39285370025489846,0.3469121161003905,0.04594158415450794,1000,Llama
OLMo-2-1124-13B-Instruct,simpleqa,test,zs_exp,0.048,0.6752082592619703,0.5927227383333858,0.08248552092858441,1000,OLMo
OLMo-2-1124-7B-Instruct,simpleqa,test,zs_exp,0.052,0.8328076987077269,0.8236764789893601,0.009131219718366723,1000,OLMo
Qwen25-14B-Instruct,simpleqa,test,zs_exp,0.057,0.695641558184603,0.44535623680070724,0.2502853213838958,1000,Qwen
Qwen25-3B-Instruct,simpleqa,test,zs_exp,0.024,0.6872151555980753,0.5118542249074792,0.1753609306905961,1000,Qwen
Qwen25-7B-Instruct,simpleqa,test,zs_exp,0.038,0.7813731768334715,0.5906111292971795,0.190762047536292,1000,Qwen
