model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples,family
OLMo-2-1124-13B-Instruct,mmlu,test,cot_exp,0.638,0.9358844720452754,0.8132611038924592,0.12262336815281616,1000,OLMo
OLMo-2-1124-7B-Instruct,mmlu,test,cot_exp,0.61,0.827587025501673,0.6423617252263705,0.18522530027530248,1000,OLMo
Qwen25-14B-Instruct,mmlu,test,cot_exp,0.72,0.9657520068978946,0.818198394415292,0.14755361248260268,1000,Qwen
Qwen25-3B-Instruct,mmlu,test,cot_exp,0.533,0.8208491876423812,0.6696504477970897,0.15119873984529153,1000,Qwen
Qwen25-7B-Instruct,mmlu,test,cot_exp,0.737,0.9632176833234024,0.8741456669040382,0.08907201641936424,1000,Qwen
gemma-2-2b-it,mmlu,validation,cot_exp,0.147,0.8881507471443502,0.7921351328572187,0.09601561428713146,1000,Gemma
gemma-2-9b-it,mmlu,validation,cot_exp,0.751,0.9898000650048014,0.9254003550034813,0.06439971000132017,1000,Gemma
Llama-32-1B-Instruct,mmlu,validation,cot_exp,0.38,0.5691702384446847,0.5348586817447076,0.0343115566999771,1000,Llama
Llama-32-3B-Instruct,mmlu,validation,cot_exp,0.597,0.20825434111012014,0.1005959982862523,0.10765834282386784,1000,Llama
Meta-Llama-31-8B-Instruct,mmlu,validation,cot_exp,0.708,0.48037248129679905,0.2043530384229283,0.27601944287387076,1000,Llama
OLMo-2-1124-7B-Instruct,mmlu,validation,cot_exp,0.593,0.8380554030440656,0.681605966444774,0.15644943659929156,1000,OLMo
OLMo-2-1124-13B-Instruct,mmlu,validation,cot_exp,0.614,0.9329968415918327,0.829841639326615,0.10315520226521768,1000,OLMo
Qwen25-14B-Instruct,mmlu,validation,cot_exp,0.73,0.9693913584559294,0.8718637147768564,0.09752764367907296,1000,Qwen
Qwen25-3B-Instruct,mmlu,validation,cot_exp,0.543,0.8340897683715887,0.6407293151802538,0.19336045319133488,1000,Qwen
Qwen25-7B-Instruct,mmlu,validation,cot_exp,0.731,0.9734403606344177,0.8835080427446401,0.08993231788977762,1000,Qwen
gemma-2-2b-it,simpleqa,test,cot_exp,0.021,0.7324306629266314,0.7321051009446635,0.0003255619819678701,1000,Gemma
gemma-2-9b-it,simpleqa,test,cot_exp,0.056,0.7546540677305342,0.5634134098973805,0.1912406578331537,1000,Gemma
Llama-32-3B-Instruct,simpleqa,test,cot_exp,0.019,0.15100010474894685,0.07894718958980348,0.07205291515914336,1000,Llama
Llama-32-1B-Instruct,simpleqa,test,cot_exp,0.027,0.4644429156945717,0.46278355001197413,0.0016593656825975578,1000,Llama
Meta-Llama-31-8B-Instruct,simpleqa,test,cot_exp,0.046,0.40906476811242237,0.17265528286235765,0.23640948525006472,1000,Llama
OLMo-2-1124-13B-Instruct,simpleqa,test,cot_exp,0.063,0.8964951250446365,0.8004154602694395,0.09607966477519692,1000,OLMo
Qwen25-14B-Instruct,simpleqa,test,cot_exp,0.068,0.6743575585948428,0.5590298486968566,0.11532770989798624,1000,Qwen
OLMo-2-1124-7B-Instruct,simpleqa,test,cot_exp,0.051,0.7187707762228442,0.6704909532030566,0.048279823019787615,1000,OLMo
Qwen25-3B-Instruct,simpleqa,test,cot_exp,0.027,0.8367992012545103,0.7734594912785508,0.0633397099759595,1000,Qwen
Qwen25-7B-Instruct,simpleqa,test,cot_exp,0.038,0.9485903282872561,0.8941729864088724,0.05441734187838365,1000,Qwen
